index,word
1,的
2,原告
3,被告
4,元
5,年
6,月
7,在
8,本院
9,为
10,日
11,规定
12,与
13,不
14,申请
15,了
16,支付
17,对
18,仲裁
19,由
20,裁定
21,向
22,后
23,本
24,其
25,第
26,工资
27,责任
28,及
29,和
30,审理
31,争议
32,劳动
33,中
34,赔偿
35,期间
36,申请人
37,于
38,证据
39,并
40,中华人民共和国
41,判决
42,本案
43,号
44,是
45,未
46,证明
47,予以
48,内
49,承担
50,依法
51,财产
52,至
53,之日起
54,工作
55,提供
56,该
57,要求
58,根据
59,应当
60,关于
61,主张
62,将
63,解除
64,起诉
65,民事
66,合同
67,依照
68,事实
69,关系
70,等
71,送达
72,请求
73,交通事故
74,不服
75,如下
76,双方
77,认定
78,不予
79,经
80,有
81,发生
82,因
83,事故
84,没有
85,被申请人
86,执行
87,应
88,法律
89,按
90,进行
91,保全
92,案件
93,法院
94,诉讼法
95,劳动合同
96,人民法院
97,损失
98,签订
99,确认
100,裁决
101,已
102,上诉
103,车辆
104,故
105,支持
106,履行
107,但
108,委员会
109,范围
110,当事人
111,人
112,之
113,一案
114,诉讼
115,上诉人
116,提出
117,内向
118,天
119,受理
120,单位
121,作出
122,保险
123,委托
124,时
125,符合
126,所
127,约定
128,交强险
129,股份
130,条
131,职工
132,自
133,问题
134,如
135,均
136,诉讼请求
137,医院
138,复议
139,原
140,聘用
141,被
142,限额
143,担保
144,相关
145,以
146,我
147,医疗费
148,认为
149,属于
150,费用
151,负担
152,也
153,存在
154,商业
155,查明
156,代理人
157,驳回
158,原审
159,部分
160,按照
161,协议
162,机动车
163,字
164,提交
165,本院认为
166,生效
167,情况
168,人事
169,依据
170,无
171,驾驶
172,期限
173,财产保险
174,劳动人事
175,险
176,鉴定
177,参加
178,上述
179,被上诉人
180,计算
181,标准
182,义务
183,合作
184,中心
185,纠纷
186,受理费
187,系
188,上
189,以下
190,同意
191,之间
192,而
193,收到
194,给
195,万元
196,事业单位
197,且
198,造成
199,伤残
200,处理
201,联社
202,农村信用
203,认可
204,经济
205,撤销
206,到
207,发放
208,人员
209,可
210,经审查
211,不能
212,个
213,给付
214,通知
215,住院
216,提起
217,其他
218,冻结
219,称
220,投保
221,办理
222,意见
223,辩称
224,终结
225,赔偿金
226,到庭
227,已经
228,无异议
229,从
230,鉴定费
231,用人单位
232,简称
233,时间
234,退休
235,就
236,实际
237,费
238,处
239,或
240,现已
241,管理
242,项
243,停止
244,受伤
245,逾期
246,共计
247,决定
248,转让
249,立即
250,适用法律
251,最高人民法院
252,损害
253,作为
254,有关
255,裁定书
256,企业
257,若干
258,日至
259,人民币
260,补贴
261,劳动者
262,护理费
263,缴纳
264,交通费
265,判决书
266,全部
267,年休假
268,出具
269,真实性
270,因此
271,理由
272,诉前
273,股权
274,文件
275,公开
276,可自
277,人民
278,即
279,内容
280,可以
281,日起
282,精神
283,手续
284,异议
285,适用
286,违反
287,开庭
288,金额
289,超过
290,裁决书
291,成立
292,补偿金
293,确定
294,陈述
295,对方
296,所有
297,另
298,前
299,综上
300,递交
301,发票
302,权利
303,一次性
304,或者
305,一审
306,利息
307,补助费
308,行为
309,死亡
310,医疗
311,误工费
312,司法鉴定
313,组成
314,中级
315,上诉状
316,现
317,员工
318,书面
319,待遇
320,道路
321,每月
322,对于
323,质证
324,合议庭
325,庭审
326,查封
327,股东
328,下
329,相应
330,调解
331,合法
332,人数
333,护理
334,年度
335,账户
336,其中
337,副本
338,亦
339,以上
340,合同法
341,答辩
342,抚慰金
343,以及
344,辞退
345,解释
346,日止
347,月份
348,错误
349,安排
350,离职
351,判令
352,加班
353,营养费
354,伙食
355,工伤
356,债务
357,残疾
358,社会保险
359,是否
360,享受
361,同时
362,二审
363,诉称
364,指定
365,证实
366,明确
367,保险合同
368,金钱
369,经营
370,如果
371,过程
372,第三者
373,治疗
374,不足
375,终止
376,合理
377,通知书
378,岗位
379,赔付
380,起
381,协议书
382,新华
383,新
384,采信
385,情形
386,律师费
387,审查
388,又
389,应予
390,时效
391,行驶
392,任何
393,支出
394,仍
395,上班
396,变更
397,主要
398,收取
399,无法
400,加倍
401,数额
402,本次
403,轿车
404,法定
405,住房
406,迟延
407,存款
408,自己
409,不是
410,一直
411,仲裁委
412,程序
413,合计
414,项目
415,国家
416,对此
417,材料
418,强制保险
419,供暖费
420,有效
421,并未
422,差额
423,福利待遇
424,具体
425,不得
426,本人
427,法律依据
428,工作人员
429,交纳
430,仲裁法
431,票据
432,各项
433,部门
434,及其
435,期
436,给予
437,据此
438,休息
439,基本
440,垫付
441,过错
442,侵权
443,劳动法
444,复印件
445,按本
446,辞职
447,举证
448,具有
449,说明
450,酌情
451,产生
452,补偿
453,再
454,乙方
455,条例
456,继续
457,从事
458,撤回
459,通过
460,登记
461,都
462,由于
463,各
464,过
465,领取
466,计
467,至今
468,诉
469,返还
470,调整
471,小型
472,条件
473,损害赔偿
474,违法
475,立案
476,报销
477,人身
478,办法
479,银行
480,包括
481,学校
482,自动
483,甲方
484,扣除
485,养老保险
486,财险
487,补助金
488,表示
489,律师
490,认定书
491,月工资
492,汽车
493,有限责任
494,事发
495,载明
496,个人
497,民初
498,绩效
499,再审
500,服务
501,意见书
502,工程
503,条款
504,结合
505,告知
506,民事判决
507,构成
508,房屋
509,社保
510,未能
511,正确
512,营养
513,份
514,收入
515,人事关系
516,记录
517,款项
518,减半
519,经过
520,损失费
521,分别
522,属
523,超出
524,重新
525,道路交通
526,准许
527,案外人
528,固定
529,政策
530,还
531,诉至
532,平安
533,方式
534,比例
535,抵押
536,交警部门
537,上述事实
538,维持
539,告诉
540,机构
541,社会
542,平均工资
543,直接
544,补发
545,驳回上诉
546,导致
547,工伤保险
548,原因
549,研究所
550,共同
551,安全法
552,事项
553,过户
554,购买
555,非
556,生活
557,考核
558,需要
559,出资
560,劳务
561,报告
562,评估
563,审判员
564,佐证
565,主体
566,诉讼费
567,简易程序
568,与其
569,运输
570,带薪
571,加班费
572,不计
573,负
574,证人
575,采暖费
576,身份
577,致
578,厂
579,并无不当
580,缺乏
581,普通
582,太平洋
583,价格
584,自行
585,应由
586,衣物
587,事故责任
588,使用
589,买卖
590,书
591,一致
592,无效
593,报酬
594,实施
595,严重
596,支行
597,合同书
598,骨折
599,实行
600,相撞
601,多次
602,协商
603,基金
604,程度
605,该项
606,开始
607,享有
608,用工
609,关联性
610,签字
611,才
612,失业
613,保险人
614,之前
615,车牌号
616,知道
617,编制
618,曾
619,教师
620,真实
621,正常
622,拟
623,理赔
624,驾驶员
625,之后
626,合法权益
627,采纳
628,为此
629,路
630,预交
631,责任法
632,津贴
633,伤情
634,涉案
635,负责
636,受损
637,未休
638,被保险人
639,小型汽车
640,改制
641,法律效力
642,生活费
643,医疗保险
644,燃油
645,诉请
646,肇事
647,款
648,当时
649,不再
650,承保
651,能力
652,货车
653,达成
654,必须
655,民事裁定
656,订立
657,参照
658,后果
659,诊断
660,整合
661,分许
662,一方
663,视为
664,解决
665,奖金
666,行政
667,发展
668,出租汽车
669,社会保险费
670,补助
671,临沂
672,代理费
673,民事诉讼
674,拖欠
675,档案
676,承包
677,需
678,技术
679,分配
680,负有
681,双倍
682,投资
683,信用社
684,该证据
685,被告人
686,保险条款
687,故对
688,诉讼费用
689,自行车
690,影响
691,来
692,保险金
693,事实清楚
694,并非
695,等级
696,原则
697,牌号
698,保险单
699,出院
700,法定代表
701,人民政府
702,组织
703,维持原判
704,形成
705,损坏
706,资金
707,虽
708,补缴
709,担任
710,全额
711,业务
712,停薪留职
713,保险法
714,其余
715,充分
716,保
717,请
718,每天
719,结果
720,期满
721,交通警察
722,有权
723,调查
724,劳动报酬
725,重型
726,高
727,赔偿款
728,虽然
729,表
730,最低工资
731,甲
732,受
733,小时
734,职务
735,误工
736,天数
737,形式
738,事业
739,营运
740,生产
741,足额
742,住院治疗
743,批准
744,领导
745,电动
746,共
747,制度
748,完成
749,建设
750,法规
751,经济损失
752,及时
753,维护
754,事宜
755,焦点
756,销售
757,拒绝
758,显示
759,损伤
760,病历
761,信托
762,酌定
763,综上所述
764,取得
765,财产损失
766,恢复
767,建立
768,收据
769,清单
770,进入
771,公积金
772,笔录
773,综合
774,再次
775,公安局
776,终审
777,但是
778,联合
779,现金
780,修理费
781,此
782,伤害
783,同年
784,仅
785,放弃
786,方案
787,自愿
788,本起
789,被执行人
790,正式
791,鉴定结论
792,信息
793,大队
794,传唤
795,应该
796,分
797,研究院
798,在职
799,旷工
800,下列
801,在案
802,周
803,就业
804,资产
805,住房补贴
806,驾驶证
807,管辖权
808,改革
809,所以
810,福利
811,鉴定人
812,日期
813,教育
814,免
815,专业
816,沿
817,干部
818,签名
819,凭证
820,学院
821,物流
822,日内
823,政府
824,代理
825,牌
826,则
827,镇
828,性质
829,同
830,工资表
831,主文
832,作
833,二倍
834,内部
835,免赔
836,制定
837,医保
838,含
839,达
840,合法性
841,诉讼时效
842,记载
843,责任险
844,指
845,平安保险
846,待岗
847,考虑
848,机关
849,结算
850,同志
851,安全
852,属实
853,年限
854,退休职工
855,一审判决
856,证言
857,后续
858,结论
859,人力资源
860,正当理由
861,核定
862,科技
863,针对
864,服务中心
865,撤诉
866,法定程序
867,活动
868,付款
869,侵害
870,保护
871,终审判决
872,停工
873,单
874,投保人
875,规章制度
876,外
877,这
878,当庭
879,意思
880,岗
881,中学
882,缴费
883,出租车
884,违约金
885,完毕
886,法人
887,优先
888,碰撞
889,应为
890,过高
891,该车
892,单方
893,次要
894,两车
895,施救
896,审判
897,交通
898,增加
899,初字
900,营业执照
901,强制
902,侵权人
903,建筑
904,基本工资
905,大学
906,附属
907,工人
908,教育局
909,土地
910,却
911,劳人仲案
912,左
913,接受
914,工作岗位
915,公告
916,目前
917,无关
918,目的
919,明细
920,挂靠
921,养老
922,债权
923,居住
924,分局
925,连续
926,除名
927,持有
928,保单
929,非机动车
930,反映
931,抚恤金
932,获得
933,退还
934,意外
935,评估费
936,涉及
937,城镇居民
938,生
939,周岁
940,教职工
941,要
942,货物
943,人寿保险
944,价值
945,支队
946,受害人
947,客车
948,公路
949,基础
950,单据
951,分社
952,离退休
953,受案
954,口头
955,维修
956,未经
957,达到
958,保险金额
959,遂
960,之一
961,开发
962,位于
963,到期
964,责任保险
965,门诊
966,日前
967,一定
968,城镇
969,只
970,决定书
971,安置
972,利益
973,具备
974,遗属
975,答复
976,申诉
977,证明书
978,该院
979,借款
980,同等
981,为证
982,发
983,抗辩
984,小学
985,辅助
986,多
987,合同纠纷
988,核实
989,资料
990,用于
991,普格
992,明显
993,奖励
994,做
995,应于
996,仲裁庭
997,丧葬费
998,管辖
999,承诺
1000,工地
1001,改判
1002,劳人仲案
1003,法律法规
1004,原件
1005,现场
1006,每年
1007,去
1008,申请书
1009,决议
1010,院
1011,租赁
1012,该案
1013,致使
1014,名下
1015,发出
1016,行驶证
1017,所述
1018,违约
1019,能够
1020,得到
1021,六个月
1022,伤亡
1023,法庭
1024,路口
1025,统筹
1026,发现
1027,人均
1028,为准
1029,郑州
1030,拒
1031,花费
1032,供养
1033,病史
1034,车
1035,受到
1036,证
1037,任务
1038,做出
1039,提成
1040,停发
1041,先行
1042,资格
1043,法医鉴定
1044,对象
1045,首先
1046,你
1047,生育
1048,车损
1049,他
1050,处分
1051,原告
1052,物业
1053,所在单位
1054,保险费
1055,提出异议
1056,内在
1057,除
1058,地
1059,采取
1060,退休年龄
1061,审核
1062,独任
1063,批复
1064,并且
1065,补充
1066,方
1067,发给
1068,剩余
1069,离岗
1070,不符
1071,节假日
1072,被告方
1073,地点
1074,另外
1075,治疗费
1076,贷款
1077,足以
1078,摩托车
1079,用
1080,沈阳
1081,医药费
1082,中华
1083,器具
1084,因为
1085,基于
1086,卫生院
1087,长期
1088,保证
1089,标的
1090,疾病
1091,评定
1092,国际
1093,伪造
1094,会议
1095,举证责任
1096,养老金
1097,当日
1098,开庭审理
1099,既
1100,离开
1101,研究
1102,名义
1103,不当
1104,两份
1105,一并处理
1106,效力
1107,满
1108,所有权
1109,住所地
1110,以后
1111,合并
1112,办事处
1113,伙食费
1114,中医院
1115,大地
1116,商业保险
1117,谁
1118,反诉
1119,愿意
1120,从未
1121,完全
1122,下发
1123,即使
1124,设立
1125,赔率
1126,请假
1127,招聘
1128,低于
1129,雇佣
1130,设备
1131,财务
1132,东
1133,卫生局
1134,注销
1135,基数
1136,车主
1137,账号
1138,保障
1139,不应
1140,手术
1141,原被告
1142,派遣
1143,工龄
1144,农村
1145,连带
1146,右
1147,明
1148,大
1149,相同
1150,十级
1151,保障局
1152,而且
1153,病假
1154,为了
1155,重大
1156,人寿
1157,各自
1158,聘请
1159,一个
1160,工资标准
1161,另行
1162,移交
1163,按规定
1164,考勤
1165,农业
1166,留薪期
1167,诉求
1168,签署
1169,卷
1170,名
1171,尚未
1172,聘任
1173,取暖费
1174,身份证
1175,豫
1176,公章
1177,施工
1178,不利
1179,冀
1180,不同
1181,转让款
1182,并于
1183,同一
1184,人事局
1185,约
1186,行使
1187,困难
1188,经营者
1189,煤矿
1190,擅自
1191,附加
1192,鉴于
1193,让
1194,独生子女
1195,破产
1196,办公室
1197,挂
1198,检查
1199,说
1200,法
1201,股东会
1202,发工资
1203,转移
1204,养老保险费
1205,自身
1206,最后
1207,阳光
1208,两个
1209,司机
1210,无需
1211,统一
1212,休息日
1213,用以
1214,建筑工程
1215,财保
1216,装饰
1217,人保
1218,只是
1219,经营部
1220,保险期限
1221,三个
1222,临时
1223,扣发
1224,承担责任
1225,所在地
1226,他人
1227,能
1228,可能
1229,煤炭
1230,参保
1231,森泽
1232,民
1233,先由
1234,不足以
1235,计划
1236,时许
1237,减少
1238,不满
1239,续签
1240,包含
1241,国务院
1242,据
1243,在编
1244,百货
1245,确实
1246,勘查
1247,未果
1248,冬季
1249,曹
1250,工会
1251,暂行规定
1252,由北向南
1253,职业
1254,油价
1255,进一步
1256,独立
1257,出
1258,会
1259,亲属
1260,未向
1261,主管部门
1262,不适
1263,财政
1264,加盖
1265,供热
1266,提前
1267,丧失
1268,主体资格
1269,传票
1270,方面
1271,合格
1272,太平
1273,代表
1274,累计
1275,大连
1276,因素
1277,平方米
1278,审批
1279,实业
1280,公估
1281,太保
1282,所有人
1283,实施办法
1284,存续
1285,已于
1286,解除合同
1287,清楚
