index,word
0,PAD
1,PLA
2,PLT
3,DFD
4,THP
5,NUMBER
6,UNK
7,START
8,END
9,的
10,原告
11,被告
12,元
13,年
14,月
15,在
16,本院
17,为
18,日
19,规定
20,与
21,不
22,申请
23,了
24,支付
25,对
26,仲裁
27,由
28,裁定
29,向
30,后
31,本
32,其
33,第
34,工资
35,责任
36,及
37,和
38,审理
39,争议
40,劳动
41,中
42,赔偿
43,期间
44,申请人
45,于
46,证据
47,并
48,中华人民共和国
49,判决
50,本案
51,号
52,是
53,未
54,证明
55,予以
56,内
57,承担
58,依法
59,财产
60,至
61,之日起
62,工作
63,提供
64,该
65,要求
66,根据
67,应当
68,关于
69,主张
70,将
71,解除
72,起诉
73,民事
74,合同
75,依照
76,事实
77,关系
78,等
79,送达
80,请求
81,交通事故
82,不服
83,如下
84,双方
85,认定
86,不予
87,经
88,有
89,发生
90,因
91,事故
92,没有
93,被申请人
94,执行
95,应
96,法律
97,按
98,进行
99,保全
100,案件
101,法院
102,诉讼法
103,劳动合同
104,人民法院
105,损失
106,签订
107,确认
108,裁决
109,已
110,上诉
111,车辆
112,故
113,支持
114,履行
115,但
116,委员会
117,范围
118,当事人
119,人
120,之
121,一案
122,诉讼
123,上诉人
124,提出
125,内向
126,天
127,受理
128,单位
129,作出
130,保险
131,委托
132,时
133,符合
134,所
135,约定
136,交强险
137,股份
138,条
139,职工
140,自
141,问题
142,如
143,均
144,诉讼请求
145,医院
146,复议
147,原
148,聘用
149,被
150,限额
151,担保
152,相关
153,以
154,我
155,医疗费
156,认为
157,属于
158,费用
159,负担
160,也
161,存在
162,商业
163,查明
164,代理人
165,驳回
166,原审
167,部分
168,按照
169,协议
170,机动车
171,字
172,提交
173,本院认为
174,生效
175,情况
176,人事
177,依据
178,无
179,驾驶
180,期限
181,财产保险
182,劳动人事
183,险
184,鉴定
185,参加
186,上述
187,被上诉人
188,计算
189,标准
190,义务
191,合作
192,中心
193,纠纷
194,受理费
195,系
196,上
197,以下
198,同意
199,之间
200,而
201,收到
202,给
203,万元
204,事业单位
205,且
206,造成
207,伤残
208,处理
209,联社
210,农村信用
211,认可
212,经济
213,撤销
214,到
215,发放
216,人员
217,可
218,经审查
219,不能
220,个
221,给付
222,通知
223,住院
224,提起
225,其他
226,冻结
227,称
228,投保
229,办理
230,意见
231,辩称
232,终结
233,赔偿金
234,到庭
235,已经
236,无异议
237,从
238,鉴定费
239,用人单位
240,简称
241,时间
242,退休
243,就
244,实际
245,费
246,处
247,或
248,现已
249,管理
250,项
251,停止
252,受伤
253,逾期
254,共计
255,决定
256,转让
257,立即
258,适用法律
259,最高人民法院
260,损害
261,作为
262,有关
263,裁定书
264,企业
265,若干
266,日至
267,人民币
268,补贴
269,劳动者
270,护理费
271,缴纳
272,交通费
273,判决书
274,全部
275,年休假
276,出具
277,真实性
278,因此
279,理由
280,诉前
281,股权
282,文件
283,公开
284,可自
285,人民
286,即
287,内容
288,可以
289,日起
290,精神
291,手续
292,异议
293,适用
294,违反
295,开庭
296,金额
297,超过
298,裁决书
299,成立
300,补偿金
301,确定
302,陈述
303,对方
304,所有
305,另
306,前
307,综上
308,递交
309,发票
310,权利
311,一次性
312,或者
313,一审
314,利息
315,补助费
316,行为
317,死亡
318,医疗
319,误工费
320,司法鉴定
321,组成
322,中级
323,上诉状
324,现
325,员工
326,书面
327,待遇
328,道路
329,每月
330,对于
331,质证
332,合议庭
333,庭审
334,查封
335,股东
336,下
337,相应
338,调解
339,合法
340,人数
341,护理
342,年度
343,账户
344,其中
345,副本
346,亦
347,以上
348,合同法
349,答辩
350,抚慰金
351,以及
352,辞退
353,解释
354,日止
355,月份
356,错误
357,安排
358,离职
359,判令
360,加班
361,营养费
362,伙食
363,工伤
364,债务
365,残疾
366,社会保险
367,是否
368,享受
369,同时
370,二审
371,诉称
372,指定
373,证实
374,明确
375,保险合同
376,金钱
377,经营
378,如果
379,过程
380,第三者
381,治疗
382,不足
383,终止
384,合理
385,通知书
386,岗位
387,赔付
388,起
389,协议书
390,新华
391,新
392,采信
393,情形
394,律师费
395,审查
396,又
397,应予
398,时效
399,行驶
400,任何
401,支出
402,仍
403,上班
404,变更
405,主要
406,收取
407,无法
408,加倍
409,数额
410,本次
411,轿车
412,法定
413,住房
414,迟延
415,存款
416,自己
417,不是
418,一直
419,仲裁委
420,程序
421,合计
422,项目
423,国家
424,对此
425,材料
426,强制保险
427,供暖费
428,有效
429,并未
430,差额
431,福利待遇
432,具体
433,不得
434,本人
435,法律依据
436,工作人员
437,交纳
438,仲裁法
439,票据
440,各项
441,部门
442,及其
443,期
444,给予
445,据此
446,休息
447,基本
448,垫付
449,过错
450,侵权
451,劳动法
452,复印件
453,按本
454,辞职
455,举证
456,具有
457,说明
