,index,0,frequency,
1,的,273906,0.043534816123074,
2,原告,117156,0.018620858680404,
3,被告,99740,0.015852747147253,
4,元,98008,0.015577461824824,
5,年,90961,0.014457406589746,
6,月,86865,0.013806385411531,
7,在,61397,0.009758483222377,
8,本院,56150,0.008924521278506,
9,为,46949,0.007462107738283,
10,日,44070,0.007004517413068,
11,规定,43852,0.006969868336689,
12,与,34359,0.005461044107003,
13,不,32556,0.005174473993643,
14,申请,30986,0.004924937067423,
15,了,30419,0.004834817680693,
16,支付,29033,0.004614525846463,
17,对,28561,0.004539505827879,
18,仲裁,28372,0.004509466032302,
19,由,28310,0.004499611707828,
20,裁定,27912,0.004436353302327,
21,向,26310,0.004181730273152,
22,后,25853,0.004109094365329,
23,本,25325,0.004025173666575,
24,其,25137,0.003995292811715,
25,第,24584,0.003907398595028,
26,工资,24336,0.003867981297128,
27,责任,24306,0.003863213075608,
28,及,24281,0.003859239557674,
29,和,23914,0.003800908314411,
30,审理,23309,0.003704749180422,
31,争议,23296,0.003702682951097,
32,劳动,23063,0.003665649763957,
33,中,22654,0.003600643010566,
34,赔偿,22620,0.003595239026177,
35,期间,22008,0.003497967307166,
36,申请人,21680,0.003445834751879,
37,于,21553,0.003425649280777,
38,证据,21502,0.003417543304193,
39,并,21174,0.003365410748906,
40,中华人民共和国,20982,0.003334894131178,
41,判决,20864,0.003316139126532,
42,本案,20711,0.003291821196779,
43,号,19140,0.003042125329842,
44,是,18650,0.002964244378346,
45,未,18457,0.0029335688199,
46,证明,18325,0.002912588645212,
47,予以,17912,0.002846946128951,
48,内,17595,0.002796561921555,
49,承担,17594,0.002796402980838,
50,依法,17154,0.002726469065209,
51,财产,17129,0.002722495547276,
52,至,16810,0.002671793458445,
53,之日起,16476,0.002618707258854,
54,工作,16334,0.002596137676992,
55,提供,15373,0.002443395647631,
56,该,14961,0.002377912072088,
57,要求,14952,0.002376481605632,
58,根据,14684,0.002333885493385,
59,应当,14675,0.002332455026929,
60,关于,14486,0.002302415231353,
61,主张,14076,0.002237249537244,
62,将,13933,0.002214521014665,
63,解除,13498,0.002145381802623,
64,起诉,13467,0.002140454640386,
65,民事,13286,0.002111686370547,
66,合同,13125,0.002086096915056,
67,依照,13055,0.002074971064842,
68,事实,12955,0.002059076993109,
69,关系,12950,0.002058282289522,
70,等,12950,0.002058282289522,
71,送达,12649,0.002010441133603,
72,请求,12574,0.001998520579803,
73,交通事故,12569,0.001997725876216,
74,不服,12560,0.00199629540976,
75,如下,12543,0.001993593417566,
76,双方,12426,0.001974997353637,
77,认定,12423,0.001974520531485,
78,不予,12366,0.001965460910597,
79,经,12267,0.00194972577958,
80,有,12139,0.001929381367761,
81,发生,12102,0.00192350056122,
82,因,12093,0.001922070094764,
83,事故,12093,0.001922070094764,
84,没有,11861,0.001885195848341,
85,被申请人,11859,0.001884877966907,
86,执行,11722,0.001863103088631,
87,应,11681,0.001856586519221,
