index,tag1,tag2,tag3,tag4,tag5,article
1,,,,,,为了公正审理涉及人民调解协议的民事案件，根据《中华人民共和国民法通则》、《中华人民共和国合同法》、《中华人民共和国民事诉讼法》，参照《人民调解委员会组织条例》，结合民事审判经验和实际情况，对审理涉及人民调解协议的民事案件的有关问题作如下规定：
2,,,,,,经人民调解委员会调解达成的、有民事权利义务内容，并由双方当事人签字或者盖章的调解协议，具有民事合同性质。当事人应当按照约定履行自己的义务，不得擅自变更或者解除调解协议。
3,,,,,,当事人一方向人民法院起诉，请求对方当事人履行调解协议的，人民法院应当受理。当事人一方向人民法院起诉，请求变更或者撤销调解协议，或者请求确认调解协议无效的，人民法院应当受理。
4,,,,,,当事人一方起诉请求履行调解协议，对方当事人反驳的，有责任对反驳诉讼请求所依据的事实提供证据予以证明。当事人一方起诉请求变更或者撤销调解协议，或者请求确认调解协议无效的，有责任对自己的诉讼请求所依据的事实提供证据予以证明。当事人一方以原纠纷向人民法院起诉，对方当事人以调解协议抗辩的，应当提供调解协议书。
5,,,,,,具备下列条件的，调解协议有效：(一)当事人具有完全民事行为能力；(二)意思表示真实；(三)不违反法律、行政法规的强制性规定或者社会公共利益。
6,,,,,,有下列情形之一的，调解协议无效：(一)损害国家、集体或者第三人利益；(二)以合法形式掩盖非法目的；(三)损害社会公共利益；(四)违反法律、行政法规的强制性规定。人民调解委员会强迫调解的，调解协议无效。
7,,,,,,下列调解协议，当事人一方有权请求人民法院变更或者撤销：(一)因重大误解订立的；(二)在订立调解协议时显失公平的；一方以欺诈、胁迫的手段或者乘人之危，使对方在违背真实意思的情况下订立的调解协议，受损害方有权请求人民法院变更或者撤销。当事人请求变更的，人民法院不得撤销。
8,,,,,,有下列情形之一的，撤销权消灭：(一)具有撤销权的当事人自知道或者应当知道撤销事由之日起一年内没有行使撤销权；(二)具有撤销权的当事人知道撤销事由后明确表示或者以自己的行为放弃撤销权。
9,,,,,,无效的调解协议或者被撤销的调解协议自始没有法律约束力。调解协议部分无效，不影响其他部分效力的，其他部分仍然有效。
10,,,,,,调解协议的诉讼时效，适用民法通则第一百三十五条的规定。原纠纷的诉讼时效因人民调解委员会调解而中断。调解协议被撤销或者被认定无效后，当事人以原纠纷起诉的，诉讼时效自调解协议被撤销或者被认定无效的判决生效之日起重新计算。
11,,,,,,具有债权内容的调解协议，公证机关依法赋予强制执行效力的，债权人可以向被执行人住所地或者被执行人的财产所在地人民法院申请执行。
12,,,,,,基层人民法院及其派出的人民法庭审理涉及人民调解协议的民事案件，一般应当适用简易程序。
13,,,,,,人民法院审理涉及人民调解协议的民事案件，调解协议被人民法院已经发生法律效力的判决变更、撤销，或者被确认无效的，可以适当的方式告知当地的司法行政机关或者人民调解委员会。
14,,,,,,本规定自2002年11月1日起施行。人民法院审理民事案件涉及2002年11月1日以后达成的人民调解协议的，适用本规定。
