,庭审程序分类
0,已审理（简易）
1,已受理/立案
2,已审理
3,已审理（简易）
4,已审理（简易）
5,已受理/立案
6,已审理（简易）
7,已审理
8,已受理/立案
9,已审理（简易）
10,已审理（简易）
11,已审理（简易）
12,已审理（简易）
13,已审理（简易）
14,已审理（简易）
15,已审理（简易）
16,已审理（简易）
17,已审理（简易）
18,已审理（简易）
19,已审理
20,已审理（简易）
21,已审理（简易）
22,已审理（简易）
23,其他撤诉
24,已受理/立案
25,已审理（简易）
26,已审理（简易）
27,已审理
28,已受理/立案
29,已审理（简易）
30,已审理（简易）
31,已审理（简易）
32,已审理（简易）
33,其他撤诉
34,已审理（简易）
35,已审理（简易）
36,已审理（简易）
37,其他撤诉
38,已审理（简易）
39,已审理（简易）
40,已审理
41,已审理（简易）
42,已审理（简易）
43,已审理（简易）
44,已审理
45,已受理/立案
46,已审理（简易）
47,已审理（简易）
48,已审理（简易）
49,已审理（简易）
50,已审理（简易）
51,已受理/立案
52,已受理/立案
53,已审理（简易）
54,已审理（简易）
55,其他撤诉
56,已审理
57,已审理（简易）
58,已审理（简易）
59,已审理（简易）
60,已审理
61,已审理（简易）
62,已审理（简易）
63,已受理/立案
64,已审理（简易）
65,已审理（简易）
66,已受理/立案
67,已审理（简易）
68,已审理（简易）
69,已审理（简易）
70,已审理（简易）
71,已审理（简易）
72,已审理（简易）
73,已审理（简易）
74,其他撤诉
75,已审理（简易）
76,已受理/立案
77,已审理（简易）
78,已审理（简易）
79,已审理（简易）
80,已审理（简易）
81,已审理（简易）
82,已审理（简易）
83,已审理（简易）
84,已审理（简易）
85,已审理（简易）
86,已审理
87,已审理（简易）
88,已审理（简易）
89,已审理（简易）
90,已审理（简易）
91,已审理（简易）
92,已审理（简易）
93,已审理（简易）
94,已审理
95,已审理（简易）
96,已审理
97,已审理（简易）
98,已审理（简易）
99,已审理（简易）
100,已审理（简易）
101,已审理（简易）
102,已受理/立案（简易）
103,已受理/立案
104,已审理（简易）
105,已审理
106,未交费
107,追加被告
108,已审理（简易）
109,不公开
110,已审理（简易）
111,已审理（简易）
112,未交费
113,未交费
114,已审理（简易）
115,已审理（简易）
116,已受理/立案
117,已审理（简易）
118,已审理（简易）
119,已审理（简易）
120,已审理（简易）
121,已审理（简易）
122,已审理（简易）
123,已审理
124,已受理/立案
125,已审理（简易）
126,已审理（简易）
127,已审理
128,已受理/立案
129,已受理/立案
130,其他撤诉
131,已受理/立案
132,已审理（简易）
133,已审理（简易）
134,已审理（简易）
135,已审理
136,已审理（简易）
137,已审理（简易）
138,已审理（简易）
139,已审理
140,其他/错误
141,已审理（简易）
142,已受理/立案
143,已审理（简易）
144,已审理（简易）
145,已审理
146,已审理
147,已受理/立案
148,已审理（简易）
149,已审理（简易）
150,已审理
151,已审理（简易）
152,已审理（简易）
153,已审理（简易）
154,已审理（简易）
155,已审理
156,已审理
157,已审理（简易）
158,已受理/立案
159,已受理/立案
160,已审理（简易）
161,已审理（简易）
162,已审理（简易）
163,已审理（简易）
164,已审理
165,已审理（简易）
166,已审理（简易）
167,其他撤诉
168,已审理（简易）
169,已审理
170,已审理（简易）
171,已审理（简易）
172,已审理（简易）
173,已审理（简易）
174,已审理
175,已审理（简易）
176,已审理（简易）
177,已审理（简易）
178,已审理（简易）
179,其他撤诉
180,已受理/立案
181,已受理/立案（简易）
182,已受理/立案
183,未交费
184,已受理/立案
185,已审理（简易）
186,已审理
187,其他撤诉
188,已审理（简易）
189,已审理（简易）
190,已审理（简易）
191,已审理（简易）
192,已审理（简易）
193,已审理
194,已审理（简易）
195,已审理
196,已审理（简易）
197,已审理（简易）
198,已受理/立案（简易）
199,已审理
200,已审理（简易）
201,其他/错误
202,已审理（简易）
203,已审理（简易）
204,已审理（简易）
205,已受理/立案（简易）
206,已审理
207,已审理（简易）
208,已审理（简易）
209,已审理（简易）
210,已审理（简易）
211,已审理（简易）
212,已审理（简易）
213,其他撤诉
214,追加被告
215,已审理（简易）
216,追加被告
217,已审理（简易）
218,已审理（简易）
219,已审理（简易）
220,已审理（简易）
221,已受理/立案
222,已审理（简易）
223,已审理（简易）
224,已审理（简易）
225,已审理（简易）
226,未交费
227,已审理
228,已审理
229,其他撤诉
230,已审理
231,已审理（简易）
232,已审理（简易）
233,已审理（简易）
234,已审理（简易）
235,已审理（简易）
236,已审理（简易）
237,其他撤诉
238,已审理（简易）
239,已审理
240,已审理（简易）
241,已审理（简易）
242,已审理
243,已审理（简易）
244,已审理（简易）
245,已审理（简易）
246,已审理（简易）
247,已审理（简易）
248,已审理（简易）
249,已审理
250,已审理（简易）
251,已审理（简易）
252,已审理（简易）
253,已审理
254,已审理（简易）
255,已受理/立案
256,其他撤诉
257,已审理
258,已审理（简易）
259,已审理（简易）
260,已审理（简易）
261,已审理（简易）
262,已审理（简易）
263,已审理（简易）
264,已受理/立案
265,已审理（简易）
266,已审理（简易）
267,已审理
268,已审理（简易）
269,已审理（简易）
270,已审理（简易）
271,已审理（简易）
272,其他撤诉
273,已审理
274,已审理（简易）
275,已受理/立案
276,已审理（简易）
277,其他撤诉
279,未交费
280,其他撤诉
281,已审理（简易）
282,已审理（简易）
283,已审理（简易）
284,不公开
285,已受理/立案
286,已审理（简易）
287,已受理/立案
288,已审理
289,已审理（简易）
290,已审理
291,已审理（简易）
292,已审理
293,已审理（简易）
294,已审理（简易）
295,已受理/立案
296,已审理（简易）
297,已审理（简易）
298,已审理（简易）
299,已审理（简易）
300,已审理（简易）
301,已审理（简易）
302,已审理（简易）
303,已审理
304,已受理/立案
305,其他撤诉
306,已受理/立案
307,已审理（简易）
308,不公开
309,已受理/立案
310,不公开
311,不公开
312,已审理（简易）
313,已审理
314,已审理（简易）
315,已审理（简易）
316,已审理（简易）
317,已审理
318,已审理（简易）
319,已审理（简易）
320,已审理（简易）
321,已审理（简易）
322,已审理
323,已审理（简易）
324,已审理（简易）
325,已审理（简易）
326,已审理（简易）
327,已审理（简易）
328,未交费
329,已审理
330,已受理/立案
331,已审理（简易）
332,已审理（简易）
333,已审理（简易）
334,已受理/立案
335,已审理（简易）
336,已审理（简易）
337,已审理（简易）
338,已受理/立案
339,已审理（简易）
340,已审理（简易）
341,已审理（简易）
342,已审理（简易）
343,已审理（简易）
344,已受理/立案
345,已审理（简易）
346,已审理（简易）
347,已审理（简易）
348,已审理（简易）
349,已审理（简易）
350,已审理（简易）
351,已审理（简易）
352,已审理（简易）
353,已受理/立案
354,其他撤诉
355,已审理（简易）
356,已审理
357,已审理（简易）
358,已审理（简易）
359,已审理
360,已受理/立案
361,已审理（简易）
362,已审理（简易）
363,未交费
364,已审理（简易）
365,已审理（简易）
366,已审理（简易）
367,已审理（简易）
368,已审理（简易）
369,已审理（简易）
370,已审理（简易）
371,已审理
372,已审理（简易）
373,已审理（简易）
374,已审理（简易）
375,已审理（简易）
376,已审理（简易）
377,已审理
378,已审理（简易）
379,已审理（简易）
380,已受理/立案
381,已受理/立案（简易）
382,已审理
383,已审理（简易）
384,已受理/立案
385,已审理（简易）
386,已审理（简易）
387,已审理（简易）
388,其他/错误
389,已审理（简易）
390,已受理/立案
391,已审理（简易）
392,已审理（简易）
393,已审理
394,已审理
395,已审理（简易）
396,已审理（简易）
397,已审理
398,已审理（简易）
399,已审理（简易）
400,已审理（简易）
401,已审理（简易）
402,缺席审判
403,已审理（简易）
404,已审理（简易）
405,已审理（简易）
406,已受理/立案
407,已审理（简易）
408,已审理（简易）
409,已受理/立案
410,已审理（简易）
411,已审理（简易）
412,已审理（简易）
413,已审理
414,已审理（简易）
415,已审理
416,已审理
417,已审理（简易）
419,已审理（简易）
420,已审理（简易）
421,已审理（简易）
422,已审理
423,已审理（简易）
424,已审理（简易）
425,已审理
426,已审理
427,申请财产保全
428,已审理（简易）
429,已审理（简易）
430,已审理（简易）
431,已审理（简易）
432,已审理（简易）
433,未交费
434,已审理（简易）
435,其他撤诉
436,已审理（简易）
437,已受理/立案
438,已审理（简易）
439,已审理（简易）
440,已审理
441,已审理（简易）
442,已审理（简易）
443,已审理（简易）
444,已审理（简易）
445,已审理（简易）
446,未交费
447,已受理/立案
448,已审理（简易）
449,已审理（简易）
450,其他撤诉
451,已审理（简易）
452,已审理（简易）
453,已审理（简易）
454,已审理（简易）
455,已审理（简易）
456,已审理（简易）
457,已审理（简易）
458,已审理
459,已审理（简易）
460,已审理（简易）
461,已审理（简易）
462,已审理（简易）
463,其他撤诉
464,已审理
465,已审理（简易）
466,已受理/立案
